-34.952,138.52,28,13.4,12.1,1021.6,0.8,92,19
-34.921,138.62,28,7.8,7.5,-9999,0.4,98,13
-34.925,138.59,20,13.3,12.4,1021.6,1,94,11
-34.711,138.62,46,15.4,9.7,1021.6,0,69,37
-35.519,138.82,41,14.7,9.7,1020.6,0,72,32
-35.171,138.68,30,10.8,10.5,1019.9,0,98,19
-34.725,138.93,46,9.2,9.2,1020.6,0.2,100,32
-34.978,138.71,28,7.8,7.5,-9999,0.4,98,13
-35.159,138.51,28,13.4,12.1,1021.6,0.8,92,19
-34.476,139.01,19,14.5,11.1,-9999,0,80,13
-35.065,139.23,22,14.6,9.3,1021.2,0,70,13
-34.798,138.63,41,15.3,9.9,1021.5,0,70,30
-35.569,138.29,41,15.3,9.9,1021.5,0,70,30
-34.511,138.68,48,15.5,9,1021.4,0,65,35
-35.256,138.89,30,12.2,8.7,1021,0,79,20
