-34.952,138.52,28,15.2,10.8,1021.8,0,75,20
-34.921,138.62,20,8.1,7.8,-9999,0,98,11
-34.925,138.59,30,15.1,10.5,1021.5,0,74,17
-34.711,138.62,33,15.2,11.4,1021.8,0,78,26
-35.519,138.82,39,14.7,8.9,1021.1,0,68,32
-35.171,138.68,33,12.3,7.8,1020,0,74,20
-34.725,138.93,28,9.2,9.2,1020.9,0,100,20
-34.978,138.71,20,8.1,7.8,-9999,0,98,11
-35.159,138.51,28,15.2,10.8,1021.8,0,75,20
-34.476,139.01,32,14.8,6.9,-9999,0,59,19
-35.065,139.23,37,14.1,8.1,1021.1,0,67,30
-34.798,138.63,32,15.1,11.9,1021.6,0,81,24
-35.569,138.29,32,15.1,11.9,1021.6,0,81,24
-34.511,138.68,30,13,11.1,1021.6,0.4,88,22
-35.256,138.89,24,11.7,7.2,1021.4,0,74,17
