-34.952,138.52,28,15.2,12.1,1021.6,0,82,22
-34.921,138.62,19,8.1,7.8,-9999,0,98,11
-34.925,138.59,28,15.1,11.5,1021.4,0,79,17
-34.711,138.62,33,14.6,12.1,1021.8,0,85,28
-35.519,138.82,43,14.5,8.2,1020.8,0,66,35
-35.171,138.68,39,12.9,9.5,1019.8,0,80,22
-34.725,138.93,32,8.6,8.6,1020.8,2,100,20
-34.978,138.71,19,8.1,7.8,-9999,0,98,11
-35.159,138.51,28,15.2,12.1,1021.6,0,82,22
-34.476,139.01,30,15.4,9.7,-9999,0,69,19
-35.065,139.23,32,16.6,7.4,1020.6,0,54,24
-34.798,138.63,32,14.5,12.2,1021.6,0,86,24
-35.569,138.29,32,14.5,12.2,1021.6,0,86,24
-34.511,138.68,44,13.2,10.2,1021.5,0,82,33
-35.256,138.89,33,11.2,6.5,1021.2,0,73,19
